Name	Date time	Maximum Temperature	Minimum Temperature	Temperature	Wind Chill	Heat Index	Precipitation	Snow	Snow Depth	Wind Speed	Wind Direction	Wind Gust	Visibility	Cloud Cover	Relative Humidity	Conditions	datetime	year	month	day	unix
Москва, Центральный федеральный округ, Россия	01/02/1970	-7.1	-19.9	-12.0	-25.9		0.0			29.5	166.25		5.0	87.5	89.14	Overcast	1970-01-02	1970.0	1.0	2.0	86400
Москва, Центральный федеральный округ, Россия	01/03/1970	-2.1	-6.1	-3.6	-13.4		0.0			29.5	182.5		6.0	92.5	91.09	Overcast	1970-01-03	1970.0	1.0	3.0	172800
Москва, Центральный федеральный округ, Россия	01/04/1970	-2.8	-6.1	-5.1	-13.9		0.0			25.9	173.75		6.0	97.5	89.49	Overcast	1970-01-04	1970.0	1.0	4.0	259200
Москва, Центральный федеральный округ, Россия	01/05/1970	0.1	-2.1	-1.4	-7.7		0.0			25.9	200.0		4.4	100.0	92.43	Overcast	1970-01-05	1970.0	1.0	5.0	345600
Москва, Центральный федеральный округ, Россия	01/06/1970	2.2	0.1	1.3	-6.3		0.0			29.5	177.5		6.4	100.0	91.57	Overcast	1970-01-06	1970.0	1.0	6.0	432000
Москва, Центральный федеральный округ, Россия	01/07/1970	1.2	-3.8	-1.3	-7.9		0.0			18.4	205.0		10.0	71.3	83.77	Partially cloudy	1970-01-07	1970.0	1.0	7.0	518400
Москва, Центральный федеральный округ, Россия	01/08/1970	0.1	-3.8	-2.3	-9.1		0.0			22.3	78.75		3.4	100.0	95.75	Overcast	1970-01-08	1970.0	1.0	8.0	604800
Москва, Центральный федеральный округ, Россия	01/09/1970	1.2	-7.1	-4.1	-13.2		0.0			14.8	75.0		3.4	100.0	93.21	Overcast	1970-01-09	1970.0	1.0	9.0	691200
Москва, Центральный федеральный округ, Россия	01/10/1970	-8.8	-13.8	-11.5	-22.3		0.0			29.5	270.0		7.4	52.5	86.75	Partially cloudy	1970-01-10	1970.0	1.0	10.0	777600
Москва, Центральный федеральный округ, Россия	01/11/1970	-16.1	-18.9	-17.5	-25.1		0.0			11.2	277.5		10.0	26.3	90.75	Partially cloudy	1970-01-11	1970.0	1.0	11.0	864000
Москва, Центральный федеральный округ, Россия	01/12/1970	-7.8	-19.9	-15.0	-25.9		0.0			22.3	207.14		4.1	55.7	92.37	Partially cloudy	1970-01-12	1970.0	1.0	12.0	950400
Москва, Центральный федеральный округ, Россия	01/13/1970	-3.8	-7.1	-4.8	-14.6		0.0			22.3	225.0		4.0	100.0	93.91	Overcast	1970-01-13	1970.0	1.0	13.0	1036800
Москва, Центральный федеральный округ, Россия	01/14/1970	-1.1	-3.8	-2.6	-8.2		0.0			18.4	217.5		3.1	87.5	94.85	Overcast	1970-01-14	1970.0	1.0	14.0	1123200
Москва, Центральный федеральный округ, Россия	01/15/1970	0.1	-1.1	-0.2	-5.8		0.0			14.8	225.0		1.8	87.5	91.51	Overcast	1970-01-15	1970.0	1.0	15.0	1209600
Москва, Центральный федеральный округ, Россия	01/16/1970	-3.8	-14.9	-10.1	-21.6		0.0			14.8	317.14		8.6	75.7	88.68	Overcast	1970-01-16	1970.0	1.0	16.0	1296000
Москва, Центральный федеральный округ, Россия	01/17/1970	-17.1	-21.0	-18.6	-28.9		0.0			18.4	131.43		10.0	8.6	93.03	Clear	1970-01-17	1970.0	1.0	17.0	1382400
Москва, Центральный федеральный округ, Россия	01/18/1970	-17.1	-24.9	-20.1	-33.6		0.0			14.8	75.0		10.0	36.3	85.68	Partially cloudy	1970-01-18	1970.0	1.0	18.0	1468800
Москва, Центральный федеральный округ, Россия	01/19/1970	-12.8	-21.0	-16.1	-28.9		0.0			14.8	82.5		4.4	68.8	92.08	Partially cloudy	1970-01-19	1970.0	1.0	19.0	1555200
Москва, Центральный федеральный округ, Россия	01/20/1970	-9.9	-13.8	-11.3	-18.8		0.0			18.4	106.25		5.6	100.0	89.91	Overcast	1970-01-20	1970.0	1.0	20.0	1641600
Москва, Центральный федеральный округ, Россия	01/21/1970	-7.1	-9.9	-8.9	-17.4		0.0			18.4	148.33		4.8	87.5	83.73	Overcast	1970-01-21	1970.0	1.0	21.0	1728000
Москва, Центральный федеральный округ, Россия	01/22/1970	-4.9	-11.1	-8.5			0.0			0.0			1.4	78.8	91.46	Overcast	1970-01-22	1970.0	1.0	22.0	1814400
Москва, Центральный федеральный округ, Россия	01/23/1970	-4.9	-11.1	-8.3	-10.9		0.0			7.6	210.0		2.0	67.5	92.18	Partially cloudy	1970-01-23	1970.0	1.0	23.0	1900800
Москва, Центральный федеральный округ, Россия	01/24/1970	-4.9	-12.1	-7.8	-9.8		0.0			7.6	273.33		4.6	87.5	91.5	Overcast	1970-01-24	1970.0	1.0	24.0	1987200
Москва, Центральный федеральный округ, Россия	01/25/1970	-7.1	-9.9	-8.4	-15.6		0.0			18.4	291.25		6.1	100.0	90.63	Overcast	1970-01-25	1970.0	1.0	25.0	2073600
Москва, Центральный федеральный округ, Россия	01/26/1970	-6.1	-8.8	-7.2	-16.1		0.0			18.4	320.0		9.1	81.3	87.75	Overcast	1970-01-26	1970.0	1.0	26.0	2160000
Москва, Центральный федеральный округ, Россия	01/27/1970	-9.9	-14.9	-11.6	-19.1		0.0			14.8	243.33		10.0	70.0	90.77	Partially cloudy	1970-01-27	1970.0	1.0	27.0	2246400
Москва, Центральный федеральный округ, Россия	01/28/1970	-7.8	-12.8	-9.7	-22.6		0.0			25.9	141.25		3.1	100.0	88.91	Overcast	1970-01-28	1970.0	1.0	28.0	2332800
Москва, Центральный федеральный округ, Россия	01/29/1970	-16.1	-27.1	-21.5	-39.0		0.0			42.5	52.5		7.4	66.3	75.73	Partially cloudy	1970-01-29	1970.0	1.0	29.0	2419200
Москва, Центральный федеральный округ, Россия	01/30/1970	-19.9	-27.8	-24.9	-39.9		0.0			18.4	121.43		10.0	15.0	69.98	Clear	1970-01-30	1970.0	1.0	30.0	2505600
Москва, Центральный федеральный округ, Россия	01/31/1970	-16.1	-27.8	-21.9	-35.1		0.0			18.4	264.29		10.0	35.0	80.76	Partially cloudy	1970-01-31	1970.0	1.0	31.0	2592000
Москва, Центральный федеральный округ, Россия	02/01/1970	-8.8	-18.9	-12.1	-28.7		0.0			29.5	254.29		9.0	95.7	89.94	Overcast	1970-02-01	1970.0	2.0	1.0	2678400
Москва, Центральный федеральный округ, Россия	02/02/1970	-7.1	-11.1	-8.8	-19.7		0.0			29.5	263.75		9.4	87.5	87.89	Overcast	1970-02-02	1970.0	2.0	2.0	2764800
Москва, Центральный федеральный округ, Россия	02/03/1970	-7.1	-14.9	-10.7	-23.7		0.0			22.3	215.0		10.0	43.8	57.06	Partially cloudy	1970-02-03	1970.0	2.0	3.0	2851200
Москва, Центральный федеральный округ, Россия	02/04/1970	-2.8	-9.9	-6.7	-18.2		0.0			25.9	152.5		3.3	100.0	90.69	Overcast	1970-02-04	1970.0	2.0	4.0	2937600
Москва, Центральный федеральный округ, Россия	02/05/1970	0.1	-7.8	-4.7	-15.2		0.0			25.9	226.25		3.9	98.8	91.04	Overcast	1970-02-05	1970.0	2.0	5.0	3024000
Москва, Центральный федеральный округ, Россия	02/06/1970	0.1	-12.1	-7.4	-16.6		0.0			22.3	258.0		11.0	63.8	80.09	Partially cloudy	1970-02-06	1970.0	2.0	6.0	3110400
Москва, Центральный федеральный округ, Россия	02/07/1970	-9.9	-13.8	-11.7	-18.2		0.0			14.8	208.33		7.1	84.3	81.45	Overcast	1970-02-07	1970.0	2.0	7.0	3196800
Москва, Центральный федеральный округ, Россия	02/08/1970	-7.1	-12.1	-9.9	-18.9		0.0			25.9	251.25		8.1	56.3	89.34	Partially cloudy	1970-02-08	1970.0	2.0	8.0	3283200
