Name	Date time	Maximum Temperature	Minimum Temperature	Temperature	Wind Chill	Heat Index	Precipitation	Snow	Snow Depth	Wind Speed	Wind Direction	Wind Gust	Visibility	Cloud Cover	Relative Humidity	Conditions	datetime	year	month	day	unix
Новосибирск, Сибирский федеральный округ, Россия	01/02/1970	-9.4	-19.3	-14.8	-26.8		0.0			19.6	98.13		8.0	0.0	70.41	Clear	1970-01-02	1970	1	2	86400
Новосибирск, Сибирский федеральный округ, Россия	01/03/1970	-12.0	-14.7	-13.4	-21.7		0.0			15.7	152.25		6.7	25.8	72.88	Partially cloudy	1970-01-03	1970	1	3	172800
Новосибирск, Сибирский федеральный округ, Россия	01/04/1970	-7.8	-14.1	-10.8	-20.3		75.0			21.5	170.88		5.7	86.6	89.76	Rain, Overcast	1970-01-04	1970	1	4	259200
Новосибирск, Сибирский федеральный округ, Россия	01/05/1970	-10.7	-22.0	-15.7	-21.5		0.0			14.0	239.75		5.9	45.0	85.59	Partially cloudy	1970-01-05	1970	1	5	345600
Новосибирск, Сибирский федеральный округ, Россия	01/06/1970	-17.3	-22.8	-20.9	-29.0		51.21			8.8	267.13		5.7	45.2	81.12	Rain, Partially cloudy	1970-01-06	1970	1	6	432000
Новосибирск, Сибирский федеральный округ, Россия	01/07/1970	-19.3	-25.2	-22.0	-34.1		102.79			27.3	199.88		5.8	59.4	79.07	Rain, Partially cloudy	1970-01-07	1970	1	7	518400
Новосибирск, Сибирский федеральный округ, Россия	01/08/1970	-12.2	-18.8	-15.0	-30.0		150.0			35.6	191.25		6.6	86.7	78.02	Rain, Overcast	1970-01-08	1970	1	8	604800
Новосибирск, Сибирский федеральный округ, Россия	01/09/1970	-10.9	-13.5	-12.0	-23.9		75.0			35.4	219.0		10.0	98.5	80.55	Rain, Overcast	1970-01-09	1970	1	9	691200
Новосибирск, Сибирский федеральный округ, Россия	01/10/1970	-12.2	-16.3	-13.8	-22.9		75.0			25.5	226.63		8.8	92.8	79.34	Rain, Overcast	1970-01-10	1970	1	10	777600
Новосибирск, Сибирский федеральный округ, Россия	01/11/1970	-14.1	-18.7	-17.1	-26.5		150.0			14.6	139.88		6.5	62.7	84.02	Rain, Partially cloudy	1970-01-11	1970	1	11	864000
Новосибирск, Сибирский федеральный округ, Россия	01/12/1970	-12.3	-20.6	-17.7	-26.6		0.0			15.7	81.71		4.6	22.4	73.07	Clear	1970-01-12	1970	1	12	950400
Новосибирск, Сибирский федеральный округ, Россия	01/13/1970	-8.8	-18.6	-13.2	-25.4		0.0			21.7	155.13		5.9	51.6	66.03	Partially cloudy	1970-01-13	1970	1	13	1036800
Новосибирск, Сибирский федеральный округ, Россия	01/14/1970	-8.5	-13.2	-10.0	-20.0		0.0			20.0	176.13		7.9	84.3	68.85	Overcast	1970-01-14	1970	1	14	1123200
Новосибирск, Сибирский федеральный округ, Россия	01/15/1970	-11.5	-16.3	-13.9	-28.9		78.33			55.0	198.13		4.7	88.1	84.09	Rain, Overcast	1970-01-15	1970	1	15	1209600
Новосибирск, Сибирский федеральный округ, Россия	01/16/1970	-8.7	-19.3	-15.1	-30.1		3.67			29.6	189.25		6.5	92.8	81.9	Rain, Overcast	1970-01-16	1970	1	16	1296000
Новосибирск, Сибирский федеральный округ, Россия	01/17/1970	-6.1	-7.8	-7.2	-17.6		12.0			37.3	195.25		8.9	96.9	76.47	Rain, Overcast	1970-01-17	1970	1	17	1382400
Новосибирск, Сибирский федеральный округ, Россия	01/18/1970	-6.3	-10.1	-8.0	-20.6		0.0			49.2	175.75		8.5	90.3	70.33	Overcast	1970-01-18	1970	1	18	1468800
Новосибирск, Сибирский федеральный округ, Россия	01/19/1970	-6.9	-24.3	-18.8	-40.1		14.7			83.4	202.13		1.4	90.9	80.44	Rain, Overcast	1970-01-19	1970	1	19	1555200
Новосибирск, Сибирский федеральный округ, Россия	01/20/1970	-10.7	-21.2	-16.1	-34.0		17.3		0.0	66.5	209.25		5.0	66.3	79.89	Rain, Partially cloudy	1970-01-20	1970	1	20	1641600
Новосибирск, Сибирский федеральный округ, Россия	01/21/1970	-12.2	-18.0	-15.0	-30.2		8.66			57.1	208.0		3.1	99.7	84.02	Rain, Overcast	1970-01-21	1970	1	21	1728000
Новосибирск, Сибирский федеральный округ, Россия	01/22/1970	-12.0	-20.7	-15.0	-29.4		77.67			41.3	243.25		5.1	79.8	82.36	Rain, Overcast	1970-01-22	1970	1	22	1814400
Новосибирск, Сибирский федеральный округ, Россия	01/23/1970	-9.9	-26.0	-17.9	-31.9		16.0			43.3	222.57		5.1	82.3	82.96	Rain, Overcast	1970-01-23	1970	1	23	1900800
Новосибирск, Сибирский федеральный округ, Россия	01/24/1970	-11.3	-22.3	-16.3	-32.6		10.66			32.6	194.88		3.8	96.4	85.79	Rain, Overcast	1970-01-24	1970	1	24	1987200
Новосибирск, Сибирский федеральный округ, Россия	01/25/1970	-13.2	-33.0	-26.5	-49.0		27.46			34.7	231.38		7.8	94.6	75.13	Rain, Overcast	1970-01-25	1970	1	25	2073600
Новосибирск, Сибирский федеральный округ, Россия	01/26/1970	-24.4	-35.3	-31.2	-51.2		125.54			28.8	164.29		9.8	90.2	73.51	Rain, Overcast	1970-01-26	1970	1	26	2160000
Новосибирск, Сибирский федеральный округ, Россия	01/27/1970	-22.7	-33.2	-29.7	-45.1		27.79			19.6	211.13		7.8	47.0	73.65	Rain, Partially cloudy	1970-01-27	1970	1	27	2246400
Новосибирск, Сибирский федеральный округ, Россия	01/28/1970	-11.0	-29.2	-16.5	-40.4		59.86			46.0	179.38		4.2	87.6	82.33	Rain, Overcast	1970-01-28	1970	1	28	2332800
Новосибирск, Сибирский федеральный округ, Россия	01/29/1970	-10.4	-22.3	-12.9	-34.4		77.0			52.5	216.5		6.3	95.4	81.52	Rain, Overcast	1970-01-29	1970	1	29	2419200
Новосибирск, Сибирский федеральный округ, Россия	01/30/1970	-27.8	-34.3	-31.0	-47.9		75.0			23.6	210.0		9.9	12.4	71.32	Rain	1970-01-30	1970	1	30	2505600
Новосибирск, Сибирский федеральный округ, Россия	01/31/1970	-12.2	-30.4	-21.5	-33.8		4.0			21.7	132.75		5.8	65.6	78.81	Rain, Partially cloudy	1970-01-31	1970	1	31	2592000
Новосибирск, Сибирский федеральный округ, Россия	02/01/1970	-4.6	-13.6	-9.8	-22.8		75.0			31.2	166.75		9.0	60.8	84.09	Rain, Partially cloudy	1970-02-01	1970	2	1	2678400
Новосибирск, Сибирский федеральный округ, Россия	02/02/1970	-6.1	-11.5	-9.4	-20.3		79.0			22.5	171.5		6.6	85.4	84.89	Rain, Overcast	1970-02-02	1970	2	2	2764800
Новосибирск, Сибирский федеральный округ, Россия	02/03/1970	-8.0	-17.5	-13.6	-27.5		9.32			41.8	192.13		7.5	59.5	79.98	Rain, Partially cloudy	1970-02-03	1970	2	3	2851200
Новосибирск, Сибирский федеральный округ, Россия	02/04/1970	-13.2	-20.3	-16.5	-31.7		1.0			48.1	198.75		8.0	80.8	79.23	Rain, Overcast	1970-02-04	1970	2	4	2937600
Новосибирск, Сибирский федеральный округ, Россия	02/05/1970	-14.8	-17.3	-16.2	-27.0		52.88			26.2	206.75		8.6	93.6	79.44	Rain, Overcast	1970-02-05	1970	2	5	3024000
Новосибирск, Сибирский федеральный округ, Россия	02/06/1970	-14.3	-19.4	-16.5	-28.4		0.0			22.3	179.88		9.2	56.3	73.67	Partially cloudy	1970-02-06	1970	2	6	3110400
Новосибирск, Сибирский федеральный округ, Россия	02/07/1970	-6.1	-15.7	-10.3	-23.2		50.21			25.2	153.75		9.8	54.4	67.07	Rain, Partially cloudy	1970-02-07	1970	2	7	3196800
Новосибирск, Сибирский федеральный округ, Россия	02/08/1970	-0.1	-5.3	-2.9	-13.9		75.0			46.9	193.38		5.8	99.4	87.4	Rain, Overcast	1970-02-08	1970	2	8	3283200
Новосибирск, Сибирский федеральный округ, Россия	02/09/1970	0.8	-6.1	-1.5	-14.3		150.0			46.2	181.29		11.2	97.4	76.61	Rain, Overcast	1970-02-09	1970	2	9	3369600
Новосибирск, Сибирский федеральный округ, Россия	02/10/1970	-1.7	-12.8	-9.0	-22.9		150.0			56.3	215.25		7.4	29.1	80.43	Rain, Partially cloudy	1970-02-10	1970	2	10	3456000
Новосибирск, Сибирский федеральный округ, Россия	02/11/1970	-10.1	-19.2	-14.7	-28.5		0.0			21.1	164.63		8.5	21.5	74.82	Clear	1970-02-11	1970	2	11	3542400
Новосибирск, Сибирский федеральный округ, Россия	02/12/1970	-6.7	-13.6	-9.9	-22.7		12.68			44.5	180.75		6.5	74.7	73.1	Rain, Partially cloudy	1970-02-12	1970	2	12	3628800
Новосибирск, Сибирский федеральный округ, Россия	02/13/1970	-2.7	-14.9	-7.6	-22.8		4.0			43.0	184.25		12.8	71.0	77.39	Rain, Partially cloudy	1970-02-13	1970	2	13	3715200
Новосибирск, Сибирский федеральный округ, Россия	02/14/1970	-4.1	-5.3	-4.8	-12.4		75.0			25.9	206.88		8.3	94.2	86.0	Rain, Overcast	1970-02-14	1970	2	14	3801600
Новосибирск, Сибирский федеральный округ, Россия	02/15/1970	-4.1	-9.3	-6.8	-16.5		67.23			17.6	296.0		7.8	99.9	83.97	Rain, Overcast	1970-02-15	1970	2	15	3888000
Новосибирск, Сибирский федеральный округ, Россия	02/16/1970	-11.5	-21.5	-18.8	-32.1		0.0			30.8	298.0		13.8	46.9	68.3	Partially cloudy	1970-02-16	1970	2	16	3974400
Новосибирск, Сибирский федеральный округ, Россия	02/17/1970	-19.7	-26.5	-22.8	-29.6		1.0			11.7	268.63		9.9	36.4	73.19	Rain, Partially cloudy	1970-02-17	1970	2	17	4060800
Новосибирск, Сибирский федеральный округ, Россия	02/18/1970	-14.9	-23.2	-18.2	-31.1		6.67			28.6	156.38		5.9	89.7	75.3	Rain, Overcast	1970-02-18	1970	2	18	4147200
Новосибирск, Сибирский федеральный округ, Россия	02/19/1970	-11.4	-17.6	-14.2	-25.6		8.0			19.6	80.29		6.5	66.0	79.26	Rain, Partially cloudy	1970-02-19	1970	2	19	4233600
Новосибирск, Сибирский федеральный округ, Россия	02/20/1970	-15.4	-22.5	-19.5	-31.8		0.0			20.5	137.63		10.0	5.6	76.38	Clear	1970-02-20	1970	2	20	4320000
Новосибирск, Сибирский федеральный округ, Россия	02/21/1970	-16.5	-24.3	-20.0	-34.9		0.0			19.6	11.75		12.2	22.1	69.22	Clear	1970-02-21	1970	2	21	4406400
Новосибирск, Сибирский федеральный округ, Россия	02/22/1970	-17.5	-26.4	-22.2	-37.1		0.0			20.5	302.0		13.3	15.8	69.99	Clear	1970-02-22	1970	2	22	4492800
Новосибирск, Сибирский федеральный округ, Россия	02/23/1970	-17.7	-25.5	-22.1	-28.1		0.0			10.9	165.0		8.3	3.1	69.27	Clear	1970-02-23	1970	2	23	4579200
Новосибирск, Сибирский федеральный округ, Россия	02/24/1970	-16.9	-25.2	-21.6	-29.7		0.0			13.6	189.17		7.3	50.5	72.49	Partially cloudy	1970-02-24	1970	2	24	4665600
Новосибирск, Сибирский федеральный округ, Россия	02/25/1970	-16.2	-26.8	-21.9	-33.6		0.0			15.3	245.13		6.6	1.6	82.22	Clear	1970-02-25	1970	2	25	4752000
Новосибирск, Сибирский федеральный округ, Россия	02/26/1970	-12.3	-20.5	-16.8	-29.5		0.0			29.3	161.5		6.7	66.8	67.3	Partially cloudy	1970-02-26	1970	2	26	4838400
Новосибирск, Сибирский федеральный округ, Россия	02/27/1970	-14.9	-18.1	-16.1	-25.7		0.0			19.6	193.5		8.8	83.9	73.85	Overcast	1970-02-27	1970	2	27	4924800
Новосибирск, Сибирский федеральный округ, Россия	02/28/1970	-13.2	-21.0	-17.8	-24.9		101.46			13.6	284.38		7.6	69.9	79.32	Rain, Partially cloudy	1970-02-28	1970	2	28	5011200
Новосибирск, Сибирский федеральный округ, Россия	03/01/1970	-15.8	-24.2	-18.9	-31.9		0.0			25.9	206.5		9.3	67.2	80.62	Partially cloudy	1970-03-01	1970	3	1	5097600
Новосибирск, Сибирский федеральный округ, Россия	03/02/1970	-15.8	-19.0	-17.4	-28.4		6.0			22.3	196.63		5.4	91.9	83.55	Rain, Overcast	1970-03-02	1970	3	2	5184000
Новосибирск, Сибирский федеральный округ, Россия	03/03/1970	-12.5	-21.2	-17.0	-26.6		1.0			22.3	96.57		5.8	10.4	81.23	Rain	1970-03-03	1970	3	3	5270400
Новосибирск, Сибирский федеральный округ, Россия	03/04/1970	-13.2	-21.6	-18.5	-30.3		0.0			16.8	140.75		8.8	2.6	78.89	Clear	1970-03-04	1970	3	4	5356800
Новосибирск, Сибирский федеральный округ, Россия	03/05/1970	-12.1	-20.7	-17.0	-31.4		0.0			22.3	54.63		10.3	0.5	75.63	Clear	1970-03-05	1970	3	5	5443200
Новосибирск, Сибирский федеральный округ, Россия	03/06/1970	-12.5	-21.7	-17.5	-32.7		0.0			20.4	55.63		11.4	1.4	67.57	Clear	1970-03-06	1970	3	6	5529600
Новосибирск, Сибирский федеральный округ, Россия	03/07/1970	-11.5	-22.6	-17.8	-33.7		0.0			19.8	186.5		12.6	8.3	69.61	Clear	1970-03-07	1970	3	7	5616000
Новосибирск, Сибирский федеральный округ, Россия	03/08/1970	-11.1	-23.7	-18.1	-25.7		0.0			12.1	268.75		9.8	19.8	70.94	Clear	1970-03-08	1970	3	8	5702400
Новосибирск, Сибирский федеральный округ, Россия	03/09/1970	-12.9	-23.1	-19.0	-22.1		0.0			9.6	255.43		7.5	51.7	77.11	Partially cloudy	1970-03-09	1970	3	9	5788800
Новосибирск, Сибирский федеральный округ, Россия	03/10/1970	-12.6	-22.8	-17.8	-20.1		0.0			11.3	261.0		6.8	5.7	76.67	Clear	1970-03-10	1970	3	10	5875200
Новосибирск, Сибирский федеральный округ, Россия	03/11/1970	-8.6	-20.8	-15.3	-29.0		0.0			22.8	183.0		11.1	9.4	67.12	Clear	1970-03-11	1970	3	11	5961600
Новосибирск, Сибирский федеральный округ, Россия	03/12/1970	-7.5	-18.6	-13.7	-27.7		0.0			22.0	222.0		11.8	0.1	57.94	Clear	1970-03-12	1970	3	12	6048000
Новосибирск, Сибирский федеральный округ, Россия	03/13/1970	-13.8	-21.5	-17.5	-30.4		0.0			35.3	207.5		5.9	64.4	82.43	Partially cloudy	1970-03-13	1970	3	13	6134400
Новосибирск, Сибирский федеральный округ, Россия	03/14/1970	-8.8	-18.3	-13.9	-25.6		8.01			23.5	185.75		4.3	96.5	88.79	Rain, Overcast	1970-03-14	1970	3	14	6220800
Новосибирск, Сибирский федеральный округ, Россия	03/15/1970	-12.6	-18.3	-14.7	-25.0		76.66			17.2	309.57		7.6	28.3	76.92	Rain, Partially cloudy	1970-03-15	1970	3	15	6307200
Новосибирск, Сибирский федеральный округ, Россия	03/16/1970	-12.3	-25.2	-19.4	-31.4		0.0			15.8	230.0		8.5	3.3	71.33	Clear	1970-03-16	1970	3	16	6393600
Новосибирск, Сибирский федеральный округ, Россия	03/17/1970	-7.6	-17.6	-12.8	-28.2		0.0			30.4	188.25		8.8	60.3	75.11	Partially cloudy	1970-03-17	1970	3	17	6480000
Новосибирск, Сибирский федеральный округ, Россия	03/18/1970	-7.6	-17.5	-13.0	-21.3		0.0			12.9	255.13		8.0	3.6	78.68	Clear	1970-03-18	1970	3	18	6566400
Новосибирск, Сибирский федеральный округ, Россия	03/19/1970	-3.8	-17.8	-9.9	-12.9		0.0			15.8	131.14		8.7	11.1	72.56	Clear	1970-03-19	1970	3	19	6652800
Новосибирск, Сибирский федеральный округ, Россия	03/20/1970	0.8	-10.8	-5.4	-1.7		0.0			6.8	207.43		5.0	46.8	64.38	Partially cloudy	1970-03-20	1970	3	20	6739200
Новосибирск, Сибирский федеральный округ, Россия	03/21/1970	2.5	-10.6	-3.6	-15.0		0.0			15.3	153.17		7.6	4.9	56.34	Clear	1970-03-21	1970	3	21	6825600
Новосибирск, Сибирский федеральный округ, Россия	03/22/1970	5.0	-7.7	-0.8	-12.9		0.0			14.6	109.13		10.2	5.2	55.01	Clear	1970-03-22	1970	3	22	6912000
Новосибирск, Сибирский федеральный округ, Россия	03/23/1970	1.2	-4.6	-1.9	-10.0		0.0			16.1	181.25		6.0	73.6	86.97	Partially cloudy	1970-03-23	1970	3	23	6998400
Новосибирск, Сибирский федеральный округ, Россия	03/24/1970	2.4	0.0	1.0	-2.3		75.0			12.9	276.5		6.8	99.7	91.24	Rain, Overcast	1970-03-24	1970	3	24	7084800
Новосибирск, Сибирский федеральный округ, Россия	03/25/1970	1.8	-2.4	0.1	-7.4		150.0			17.2	221.0		11.2	67.7	77.75	Rain, Partially cloudy	1970-03-25	1970	3	25	7171200
Новосибирск, Сибирский федеральный округ, Россия	03/26/1970	1.3	-5.2	-1.8	-10.3		0.0			23.6	53.88		11.5	38.3	66.88	Partially cloudy	1970-03-26	1970	3	26	7257600
Новосибирск, Сибирский федеральный округ, Россия	03/27/1970	2.2	-4.3	-1.1	-10.2		75.0			24.6	137.38		10.1	84.8	69.15	Rain, Overcast	1970-03-27	1970	3	27	7344000
Новосибирск, Сибирский федеральный округ, Россия	03/28/1970	1.3	-0.4	0.2	-6.0		5.0			25.3	198.13		9.1	92.4	80.81	Rain, Overcast	1970-03-28	1970	3	28	7430400
Новосибирск, Сибирский федеральный округ, Россия	03/29/1970	5.8	-0.4	2.6	-5.8		0.0			38.4	153.88		9.7	97.9	76.7	Overcast	1970-03-29	1970	3	29	7516800
Новосибирск, Сибирский федеральный округ, Россия	03/30/1970	4.7	0.0	1.4	-6.8		62.54		0.0	55.0	202.13		7.3	81.3	86.79	Rain, Overcast	1970-03-30	1970	3	30	7603200
Новосибирск, Сибирский федеральный округ, Россия	03/31/1970	2.0	0.0	0.6	-6.1		125.21			27.4	222.88		7.2	99.7	84.07	Rain, Overcast	1970-03-31	1970	3	31	7689600
Новосибирск, Сибирский федеральный округ, Россия	04/01/1970	7.2	0.0	3.2	-5.6		26.37			33.1	175.0		7.1	100.0	86.98	Rain, Overcast	1970-04-01	1970	4	1	7776000
Новосибирск, Сибирский федеральный округ, Россия	04/02/1970	4.5	0.0	2.0	-4.4		18.66			25.2	251.5		9.7	60.0	81.91	Rain, Partially cloudy	1970-04-02	1970	4	2	7862400
Новосибирск, Сибирский федеральный округ, Россия	04/03/1970	1.9	-2.7	-0.6	-7.4		0.0		0.0	24.0	279.13		11.0	29.2	75.85	Partially cloudy	1970-04-03	1970	4	3	7948800
Новосибирск, Сибирский федеральный округ, Россия	04/04/1970	2.3	-2.8	-0.3	-7.0		75.0		0.0	21.1	233.75		10.6	61.9	74.78	Rain, Partially cloudy	1970-04-04	1970	4	4	8035200
Новосибирск, Сибирский федеральный округ, Россия	04/05/1970	7.7	1.1	3.9	-2.3		75.0		0.0	23.1	232.13		9.2	89.6	78.06	Rain, Overcast	1970-04-05	1970	4	5	8121600
