Name	Date time	Maximum Temperature	Minimum Temperature	Temperature	Wind Chill	Heat Index	Precipitation	Snow	Snow Depth	Wind Speed	Wind Direction	Wind Gust	Visibility	Cloud Cover	Relative Humidity	Conditions	datetime	year	month	day	unix
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/02/1970	-7.1	-16.1	-11.6	-26.1		0.0			29.5	155.0		6.0	97.5	77.83	Overcast	1970-01-02	1970	1	2	86400
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/03/1970	-7.1	-7.8	-7.2	-15.5		0.0			25.9	172.86		7.9	80.0	88.32	Overcast	1970-01-03	1970	1	3	172800
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/04/1970	-3.8	-7.1	-5.0	-13.9		0.0			25.9	171.25		7.3	83.8	83.99	Overcast	1970-01-04	1970	1	4	259200
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/05/1970	-2.1	-7.8	-4.9	-14.6		0.0			35.3	180.0		12.0	63.8	78.98	Partially cloudy	1970-01-05	1970	1	5	345600
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/06/1970	1.2	-4.9	-2.0	-15.9		0.0			64.8	127.5		3.3	87.5	91.05	Overcast	1970-01-06	1970	1	6	432000
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/07/1970	-3.8	-9.9	-6.0	-18.2		0.0			42.5	261.43		8.3	72.9	79.88	Partially cloudy	1970-01-07	1970	1	7	518400
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/08/1970	-7.8	-17.1	-12.3	-22.6		0.0			25.9	155.71		4.5	92.5	89.28	Overcast	1970-01-08	1970	1	8	604800
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/09/1970	-7.1	-12.1	-8.6	-21.7		0.0			25.9	142.5		7.0	90.0	84.78	Overcast	1970-01-09	1970	1	9	691200
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/10/1970	-12.8	-17.1	-15.1	-26.5		0.0			22.3	265.0		3.5	80.0	87.41	Overcast	1970-01-10	1970	1	10	777600
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/11/1970	-8.8	-12.8	-11.0	-21.1		0.0			18.4	180.0		7.8	86.3	70.28	Overcast	1970-01-11	1970	1	11	864000
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/12/1970	-7.1	-12.1	-8.9	-21.0		0.0			22.3	188.57		10.0	98.8	74.62	Overcast	1970-01-12	1970	1	12	950400
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/13/1970	-6.1	-7.1	-6.4	-13.4		0.0			22.3	208.57		7.8	100.0	90.26	Overcast	1970-01-13	1970	1	13	1036800
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/14/1970	-6.1	-12.8	-8.6	-20.2		0.0			25.9	55.0		4.4	95.0	85.35	Overcast	1970-01-14	1970	1	14	1123200
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/15/1970	-11.1	-13.8	-12.8	-23.2		0.0			29.5	47.5		6.8	76.3	78.95	Overcast	1970-01-15	1970	1	15	1209600
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/16/1970	-12.1	-19.9	-15.3	-28.9		0.0			25.9	195.0		5.3	68.8	82.4	Partially cloudy	1970-01-16	1970	1	16	1296000
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/17/1970	-13.8	-23.9	-17.6	-23.7		0.0			18.4	242.5		2.9	42.9	84.86	Partially cloudy	1970-01-17	1970	1	17	1382400
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/18/1970	-12.1	-22.2	-14.8	-22.6		0.0			7.6	226.0		3.3	78.8	87.75	Overcast	1970-01-18	1970	1	18	1468800
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/19/1970	-11.1	-21.0	-14.5	-31.3		0.0			18.4	121.43		6.6	65.7	89.94	Partially cloudy	1970-01-19	1970	1	19	1555200
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/20/1970	-12.1	-18.9	-14.9	-28.7		0.0			18.4	150.0		9.8	68.8	79.55	Partially cloudy	1970-01-20	1970	1	20	1641600
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/21/1970	-11.1	-16.1	-13.6	-21.5		0.0			14.8	241.25		10.8	68.8	80.32	Partially cloudy	1970-01-21	1970	1	21	1728000
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/22/1970	-4.9	-8.8	-6.3	-15.5		0.0			22.3	247.5		5.8	100.0	85.56	Overcast	1970-01-22	1970	1	22	1814400
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/23/1970	-2.8	-6.1	-4.7	-11.0		0.0			11.2	110.0		2.8	100.0	89.15	Overcast	1970-01-23	1970	1	23	1900800
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/24/1970	-3.8	-8.8	-5.7	-12.9		0.0			11.2	235.0		3.3	97.5	89.8	Overcast	1970-01-24	1970	1	24	1987200
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/25/1970	-7.8	-17.8	-12.2	-18.2		0.0			18.4	258.57		1.8	48.8	92.05	Partially cloudy	1970-01-25	1970	1	25	2073600
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/26/1970	-4.9	-16.1	-9.9	-14.2		0.0			11.2	206.67		4.3	88.8	85.51	Overcast	1970-01-26	1970	1	26	2160000
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/27/1970	-7.8	-9.9	-9.4	-16.6		0.0			14.8	198.33		6.3	100.0	80.59	Overcast	1970-01-27	1970	1	27	2246400
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/28/1970	-7.1	-21.0	-11.9	-33.1		0.0			31.3	47.5		6.3	65.0	75.63	Partially cloudy	1970-01-28	1970	1	28	2332800
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/29/1970	-22.2	-28.9	-24.7	-36.2		0.0			25.9	92.86		7.5	5.0	68.44	Clear	1970-01-29	1970	1	29	2419200
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/30/1970	-13.8	-30.0	-20.4	-28.3		0.0			22.3	240.0		8.3	58.8	65.02	Partially cloudy	1970-01-30	1970	1	30	2505600
Санкт-Петербург, Северо-Западный федеральный округ, Россия	01/31/1970	-7.1	-12.1	-8.9	-20.2		0.0			25.9	268.75		5.3	100.0	87.39	Overcast	1970-01-31	1970	1	31	2592000
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/01/1970	-2.8	-6.1	-3.9	-13.4		0.0			35.3	256.25		8.5	83.8	80.12	Overcast	1970-02-01	1970	2	1	2678400
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/02/1970	-2.8	-7.1	-3.9	-15.7		0.0			29.5	252.5		6.8	72.5	80.87	Partially cloudy	1970-02-02	1970	2	2	2764800
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/03/1970	-7.1	-12.8	-9.5	-21.9		0.0			35.3	187.5		7.8	47.5	72.02	Partially cloudy	1970-02-03	1970	2	3	2851200
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/04/1970	-6.1	-7.8	-7.0	-16.1		0.0			25.9	170.0		4.5	100.0	80.39	Overcast	1970-02-04	1970	2	4	2937600
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/05/1970	-4.9	-12.1	-8.4	-22.5		0.0			31.3	240.0		5.3	80.0	81.42	Overcast	1970-02-05	1970	2	5	3024000
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/06/1970	-6.1	-12.8	-9.4	-22.6		0.0			35.3	228.75		11.3	75.0	79.0	Partially cloudy	1970-02-06	1970	2	6	3110400
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/07/1970	-7.8	-12.1	-9.2	-20.2		0.0			22.3	256.25		9.3	70.0	80.02	Partially cloudy	1970-02-07	1970	2	7	3196800
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/08/1970	-3.8	-12.1	-6.7	-20.2		0.0			25.9	217.5		8.0	100.0	81.72	Overcast	1970-02-08	1970	2	8	3283200
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/09/1970	-8.8	-12.8	-10.6	-20.2		0.0			22.3	87.5		5.8	98.8	88.48	Overcast	1970-02-09	1970	2	9	3369600
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/10/1970	-9.9	-12.1	-11.7	-20.2		0.0			18.4	57.5		3.0	97.5	86.78	Overcast	1970-02-10	1970	2	10	3456000
Санкт-Петербург, Северо-Западный федеральный округ, Россия	02/11/1970	-12.8	-22.2	-16.3	-31.6		0.0			18.4	157.5		3.0	100.0	83.39	Overcast	1970-02-11	1970	2	11	3542400
